product_id,product_name,category,brand,unit_price,active,unit_cost
1,Lighthouse Outdoor SKU-0001,Fitness,BluePeak,22.51,True,16.7
2,Atlas Fitness SKU-0002,Beauty,Cedar,9.97,True,4.67
3,Northstar Fitness SKU-0003,Fashion,Pioneer,27.62,True,20.96
4,BluePeak Outdoor SKU-0004,Fashion,Harbor,36.73,False,26.12
5,Evergreen Beauty SKU-0005,Electronics,Northstar,17.77,True,9.92
6,Vertex Office SKU-0006,Fitness,Summit,22.02,True,15.49
7,Apex Grocery SKU-0007,Beauty,Harbor,31.27,True,21.65
8,Northstar Home SKU-0008,Beauty,Summit,26.3,True,16.54
9,Lighthouse Home SKU-0009,Home,Cedar,65.11,True,45.66
10,Summit Electronics SKU-0010,Fashion,Lighthouse,17.37,True,10.42
11,Evergreen Office SKU-0011,Electronics,Pioneer,38.44,True,27.8
12,Pioneer Grocery SKU-0012,Home,Nimble,32.11,True,22.66
13,Atlas Electronics SKU-0013,Home,Harbor,9.65,True,7.2
14,Apex Home SKU-0014,Fashion,Northstar,28.7,True,20.29
15,Lighthouse Outdoor SKU-0015,Fashion,Pioneer,25.62,True,19.25
16,Northstar Fashion SKU-0016,Office,Apex,19.69,True,9.53
17,Northstar Electronics SKU-0017,Beauty,Pioneer,85.91,True,44.66
18,Nimble Fashion SKU-0018,Outdoor,Pioneer,62.51,True,36.44
19,Harbor Home SKU-0019,Beauty,BrightPath,16.52,True,8.38
20,Nimble Outdoor SKU-0020,Electronics,Summit,40.97,False,30.43
21,Harbor Electronics SKU-0021,Outdoor,Lighthouse,43.97,True,21.31
22,Evergreen Home SKU-0022,Outdoor,Harbor,29.81,True,17.44
23,Northstar Fitness SKU-0023,Electronics,Harbor,13.28,True,8.07
24,Evergreen Fashion SKU-0024,Grocery,Cedar,14.6,False,10.72
25,Cedar Fashion SKU-0025,Outdoor,BluePeak,38.21,True,19.61
26,Riverbend Outdoor SKU-0026,Office,Nimble,37.69,True,28.99
27,Lighthouse Fitness SKU-0027,Fashion,Harbor,22.52,True,11.83
28,Evergreen Beauty SKU-0028,Fashion,BrightPath,63.77,True,30.53
29,Atlas Fitness SKU-0029,Office,Vertex,71.57,True,36.59
30,Riverbend Office SKU-0030,Fitness,Nimble,71.03,True,52.36
31,Riverbend Grocery SKU-0031,Electronics,Cedar,71.22,True,33.82
32,BrightPath Office SKU-0032,Beauty,Pioneer,26.84,True,11.58
33,Cedar Office SKU-0033,Grocery,Summit,11.39,True,5.98
34,Summit Beauty SKU-0034,Home,Nimble,21.99,True,13.55
35,Apex Grocery SKU-0035,Office,Atlas,25.16,True,13.8
36,Pioneer Electronics SKU-0036,Grocery,Apex,18.01,True,8.61
37,Summit Beauty SKU-0037,Office,Nimble,21.17,True,11.67
38,Apex Electronics SKU-0038,Office,Cedar,12.79,True,8.56
39,Riverbend Fashion SKU-0039,Grocery,BrightPath,43.14,True,24.89
40,Pioneer Outdoor SKU-0040,Home,Apex,78.13,False,48.92
41,Summit Office SKU-0041,Beauty,Atlas,127.52,True,97.03
42,Nimble Grocery SKU-0042,Office,Pioneer,31.86,True,21.96
43,BrightPath Fashion SKU-0043,Office,Cedar,24.25,True,17.2
44,Summit Fashion SKU-0044,Outdoor,BrightPath,26.47,True,13.86
45,Riverbend Fitness SKU-0045,Grocery,Summit,65.68,False,39.68
46,Riverbend Fashion SKU-0046,Home,Riverbend,64.96,True,35.34
47,Riverbend Grocery SKU-0047,Grocery,Pioneer,23.19,True,13.78
48,Atlas Grocery SKU-0048,Office,Apex,59.28,True,27.29
49,Lighthouse Fashion SKU-0049,Fitness,Cedar,30.12,True,18.27
50,Apex Outdoor SKU-0050,Outdoor,Evergreen,16.81,True,10.24
51,BrightPath Outdoor SKU-0051,Outdoor,Summit,24.52,True,15.37
52,Pioneer Outdoor SKU-0052,Fashion,Lighthouse,82.02,True,41.38
53,Evergreen Outdoor SKU-0053,Electronics,Summit,43.34,True,21.66
54,Nimble Grocery SKU-0054,Fashion,BluePeak,19.5,True,10.77
55,Riverbend Fashion SKU-0055,Office,Harbor,49.86,True,30.59
56,Atlas Beauty SKU-0056,Fashion,Evergreen,43.12,True,23.34
57,BrightPath Fashion SKU-0057,Office,BluePeak,22.17,False,14.95
58,Apex Fitness SKU-0058,Home,Apex,16.69,True,10.53
59,BluePeak Fitness SKU-0059,Electronics,Cedar,13.17,True,6.07
60,Cedar Fashion SKU-0060,Fashion,Nimble,9.31,True,4.66
